City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
367,husavik,0,CA,1534638082,88,50.56,-96.99,75.99,6.42
368,ngong,40,KE,1534636800,87,-1.37,36.65,57.2,4.7
369,roma,0,IT,1534636500,77,41.89,12.48,73.4,5.82
370,tuatapere,0,NZ,1534638082,100,-46.13,167.69,45.39,4.63
371,poya,48,NC,1534638082,94,-21.35,165.16,72.48,4.63
372,cockburn town,8,TC,1534638083,96,21.46,-71.14,83.73,16.15
373,cwmbran,90,GB,1534636200,88,51.65,-3.03,64.4,8.05
374,aloleng,92,PH,1534638083,100,16.13,119.78,74.82,7.99
375,devonport,0,AU,1534638083,65,-41.18,146.36,45.75,17.72
376,birjand,0,IR,1534633200,19,32.86,59.22,68.0,4.7
377,bonthe,92,SL,1534638083,100,7.53,-12.5,72.84,5.97
378,sahuaripa,36,MX,1534638083,61,29.05,-109.23,84.0,1.5
379,liuhe,24,CN,1534638084,91,42.28,125.73,67.44,3.29
380,nemuro,75,JP,1534635000,77,43.32,145.57,64.4,6.93
381,bhindar,40,PK,1534633200,88,32.5,74.45,82.4,3.18
382,severobaykalsk,88,RU,1534638084,98,55.65,109.32,50.88,2.28
383,la cruz,76,MX,1534638084,86,23.92,-106.89,83.73,3.74
384,yeppoon,0,AU,1534636800,17,-23.13,150.74,75.2,21.92
385,sechura,0,PE,1534638085,78,-5.56,-80.82,69.33,11.79
386,dodola,88,BF,1534638085,97,10.12,-3.28,69.42,3.29
387,laguna,75,MX,1534635780,46,27.52,-110.01,93.2,6.93
388,ngunguru,12,NZ,1534638085,100,-35.62,174.5,56.19,6.64
389,camacha,75,PT,1534636800,73,33.08,-16.33,69.8,10.29
390,russell,32,AR,1534638086,48,-33.01,-68.8,31.98,3.06
391,zhangye,0,CN,1534638086,69,38.94,100.46,60.51,5.64
392,karratha,0,AU,1534638086,31,-20.74,116.85,63.3,15.59
393,labuhan,48,ID,1534638086,89,-2.54,115.51,75.18,2.73
394,monticello,40,US,1534636380,51,45.31,-93.79,84.2,4.7
395,kolokani,92,ML,1534638087,99,13.58,-8.03,69.87,6.87
396,veraval,75,FR,1534636800,93,49.65,0.71,62.6,2.24
397,lima,12,PE,1534638087,71,-12.06,-77.04,60.51,2.39
398,mitchell,1,US,1534636380,54,43.71,-98.03,84.2,14.99
399,kailua,75,US,1534636620,88,21.39,-157.74,91.4,6.93
400,cangzhou,92,CN,1534638088,99,38.3,116.85,73.11,13.47
401,kaitangata,0,NZ,1534638088,75,-46.28,169.85,46.2,5.41
402,imbituba,75,BR,1534633200,88,-28.24,-48.67,64.4,11.41
403,noumea,0,NC,1534636800,36,-22.28,166.46,77.0,3.36
404,bull savanna,0,JM,1534638088,62,17.89,-77.59,82.29,5.64
405,aksu,0,KZ,1534635000,87,52.04,76.93,57.2,4.47
406,san miguel,90,AR,1534634700,87,-34.54,-58.72,50.0,9.17
407,honningsvag,88,NO,1534638090,91,70.98,25.97,52.77,9.44
408,coahuayana,8,MX,1534638090,71,18.62,-100.35,80.13,1.16
409,kandrian,56,PG,1534638090,86,-6.21,149.55,80.4,5.75
410,honiara,40,SB,1534636800,66,-9.43,159.96,86.0,11.41
411,key west,20,US,1534636500,65,47.93,-96.78,84.2,12.75
412,talnakh,64,RU,1534638091,95,69.49,88.39,42.06,2.84
413,dubrovnik,0,HR,1534636800,39,42.65,18.09,82.4,13.87
414,valle del guamuez,0,CO,1534638091,89,0.45,-76.92,70.77,1.83
415,homestead,1,US,1534636560,74,25.47,-80.48,86.0,4.7
416,buritis,44,BR,1534638091,80,-15.62,-46.42,64.65,4.63
417,beausejour,75,CA,1534636800,40,50.06,-96.51,87.8,12.75
418,kasba,0,IN,1534638092,93,25.86,87.54,80.4,2.84
419,maragogi,92,BR,1534638076,90,-9.01,-35.22,73.47,8.43
420,samarai,92,PG,1534638092,100,-10.62,150.67,76.35,10.56
421,sioux lookout,90,CA,1534636800,53,50.1,-91.92,75.2,5.82
422,tilichiki,76,RU,1534638092,82,60.47,166.1,54.3,6.64
423,pangody,0,RU,1534638092,89,65.85,74.49,40.08,8.43
424,xihe,20,CN,1534638092,77,34.02,105.29,60.15,0.16
425,tosya,0,TR,1534638093,82,41.02,34.04,54.66,3.18
426,puerto escondido,90,MX,1534635900,66,15.86,-97.07,86.0,5.41
427,buchanan,75,LR,1534636800,94,5.88,-10.05,73.4,5.82
428,niamey,0,NE,1534636800,83,13.52,2.11,80.6,2.24
429,liverpool,40,GB,1534636200,82,53.41,-2.98,66.2,9.17
430,palmas,76,BR,1534638094,71,-10.18,-48.33,76.53,1.72
431,sao filipe,44,CV,1534638094,100,14.9,-24.5,77.07,9.22
432,inhambane,88,MZ,1534638094,100,-23.87,35.38,69.78,12.01
433,eyrarbakki,24,IS,1534638094,91,63.86,-21.15,53.58,12.91
434,oshakati,0,NA,1534638094,33,-17.78,15.7,58.71,7.76
435,panjakent,0,UZ,1534635000,72,39.5,67.61,62.6,4.7
436,gaoual,92,GN,1534638094,100,11.75,-13.2,72.75,8.32
437,lata,88,IN,1534638095,100,30.78,78.62,58.17,1.72
438,porto novo,0,BR,1534633200,82,-23.68,-45.44,60.8,12.75
439,nador,0,MA,1534636800,83,35.17,-2.93,77.0,5.82
440,constitucion,75,MX,1534635840,46,23.99,-104.67,73.4,8.05
441,griffith,36,AU,1534638095,71,-34.29,146.06,48.63,19.51
442,fukue,75,JP,1534635000,54,35.03,136.69,78.8,9.17
443,sao jose da coroa grande,92,BR,1534638095,90,-8.9,-35.15,73.47,8.43
444,benguela,0,AO,1534638096,100,-12.58,13.4,67.08,2.17
445,galle,1,US,1534636560,34,29.74,-97.91,98.6,10.29
446,malanje,0,AO,1534638096,85,-9.54,16.35,56.64,4.41
447,darhan,92,MN,1534638096,100,49.49,105.92,57.27,4.41
448,narsaq,75,GL,1534636200,93,60.91,-46.05,44.6,3.36
449,yanam,92,IN,1534638096,98,16.73,82.22,74.73,14.36
450,roald,92,NO,1534636200,87,62.58,6.12,55.4,23.04
451,presidencia roque saenz pena,64,AR,1534638097,49,-26.79,-60.44,78.51,11.01
452,kushima,75,JP,1534635720,69,31.5,131.29,78.8,11.41
453,asmara,80,ER,1534638097,83,15.34,38.93,67.53,2.95
454,lalitpur,92,IN,1534638097,95,24.69,78.42,76.17,5.64
455,bayamo,40,CU,1534636200,69,20.38,-76.64,82.4,13.87
456,penzance,76,GB,1534632600,93,50.12,-5.53,60.8,18.34
457,bagotville,0,AU,1534638097,100,-28.98,153.42,60.51,12.68
458,baykit,0,RU,1534638098,95,61.68,96.39,57.09,2.95
459,maltahohe,0,NA,1534638098,41,-24.83,16.98,37.2,4.97
460,iskateley,88,RU,1534638098,85,67.68,53.15,56.37,15.03
461,aviles,0,ES,1534636800,87,43.55,-5.92,60.8,4.7
462,ukiah,1,US,1534636560,12,39.15,-123.21,98.6,9.17
463,klaksvik,80,FO,1534636200,100,62.23,-6.59,48.2,16.26
464,longjiang,0,CN,1534638098,82,47.33,123.18,71.4,4.41
465,hermiston,1,US,1534636380,17,45.84,-119.29,93.2,5.82
466,pingliang,32,CN,1534638099,88,35.54,106.68,65.64,2.17
467,tefe,20,BR,1534635900,94,-3.35,-64.71,78.8,4.07
468,gubkinskiy,0,RU,1534638099,82,64.43,76.5,46.47,12.8
469,ihosy,24,MG,1534638099,88,-22.4,46.13,45.3,3.4
470,soure,0,PT,1534636800,68,40.06,-8.63,66.2,1.12
471,ulladulla,48,AU,1534636800,40,-35.36,150.48,53.6,25.28
472,ovalle,8,CL,1534638099,82,-30.6,-71.2,49.62,4.97
473,helong,68,CN,1534638100,95,25.94,116.13,74.73,3.29
474,maniago,32,IT,1534638100,70,46.17,12.71,64.11,3.29
475,mahibadhoo,76,MV,1534638100,100,3.78,72.97,80.31,16.37
476,thaba-tseka,0,LS,1534638100,78,-29.52,28.61,19.74,2.06
477,bognor regis,75,GB,1534636200,82,50.78,-0.67,64.4,5.82
478,cap malheureux,40,MU,1534633200,64,-19.98,57.61,71.6,13.87
479,kjopsvik,56,NO,1534636200,93,68.1,16.37,50.0,2.24
